date,Price,Open,High,Low,Vol.,Change %
18-Dec-2022,"16,837.20","16,777.00","17,031.30","16,331.20",1.35M,0.36%
11-Dec-2022,"16,777.10","17,127.00","18,351.80","16,542.40",1.94M,-2.04%
4-Dec-2022,"17,127.20","16,884.80","17,395.20","16,715.30",1.73M,1.44%
27-Nov-2022,"16,884.50","16,456.40","17,244.70","16,013.50",1.79M,2.60%
20-Nov-2022,"16,456.50","16,699.30","16,785.60","15,504.20",1.78M,-1.45%
13-Nov-2022,"16,699.20","16,803.90","17,158.40","15,834.00",1.58M,-0.57%
6-Nov-2022,"16,795.20","21,298.70","21,360.40","15,603.30",4.02M,-21.16%
30-Oct-2022,"21,301.60","20,809.40","21,464.70","20,065.80",2.62M,2.36%
23-Oct-2022,"20,809.80","19,204.80","21,038.10","19,092.50",2.25M,8.36%
16-Oct-2022,"19,204.80","19,068.80","19,692.90","18,703.30",1.72M,0.71%
9-Oct-2022,"19,068.70","19,416.30","19,933.90","18,207.90",2.12M,-1.78%
2-Oct-2022,"19,415.00","19,311.90","20,436.70","18,937.30",2.17M,0.53%
25-Sep-2022,"19,311.90","18,925.10","20,361.20","18,505.30",3.37M,2.04%
18-Sep-2022,"18,925.20","20,113.90","20,113.90","18,191.80",2.82M,-5.91%
11-Sep-2022,"20,113.50","21,650.40","22,702.50","19,352.90",2.58M,-7.10%
4-Sep-2022,"21,650.40","19,832.20","21,790.60","18,548.40",2.38M,9.17%
28-Aug-2022,"19,831.40","20,034.20","20,558.20","19,542.90",1.85M,-1.01%
21-Aug-2022,"20,033.90","21,138.90","21,832.30","19,849.80",1.70M,-5.23%
14-Aug-2022,"21,138.90","24,442.10","25,205.70","20,784.80",1.73M,-13.52%
7-Aug-2022,"24,442.50","22,944.20","24,882.90","22,714.70",1.39M,6.53%
31-Jul-2022,"22,944.20","23,634.20","24,179.30","22,438.70",1.25M,-2.92%
24-Jul-2022,"23,634.20","22,449.80","24,605.30","20,737.30",1.49M,5.23%
17-Jul-2022,"22,460.40","21,209.80","24,258.00","20,755.20",1.61M,5.90%
10-Jul-2022,"21,209.90","21,587.40","21,599.20","18,942.20",1.31M,-1.75%
3-Jul-2022,"21,587.50","19,243.40","22,482.10","18,794.40",1.39M,12.18%
26-Jun-2022,"19,243.20","21,489.90","21,837.40","18,682.70",742.87K,-10.45%
19-Jun-2022,"21,489.90","18,983.40","21,689.30","17,983.70",889.96K,13.19%
12-Jun-2022,"18,986.50","28,404.00","28,534.80","17,630.50",1.44M,-33.15%
5-Jun-2022,"28,403.40","29,865.10","31,753.40","28,161.80",614.26K,-4.89%
29-May-2022,"29,864.30","29,027.10","32,377.50","28,838.70",610.88K,2.88%
22-May-2022,"29,027.10","29,433.00","30,644.80","28,077.90",658.54K,-1.38%
15-May-2022,"29,434.60","30,078.60","31,383.80","28,648.10",630.05K,-2.15%
8-May-2022,"30,080.40","35,468.00","35,497.00","26,500.50",672.43M,-15.19%
1-May-2022,"35,468.00","37,642.00","40,021.00","34,773.00",4.43B,-5.80%
24-Apr-2022,"37,650.00","39,434.00","40,770.00","37,596.00",3.35B,-4.49%
17-Apr-2022,"39,418.00","40,382.00","42,969.00","38,577.00",2.66B,-2.39%
10-Apr-2022,"40,382.00","42,760.00","43,421.00","39,202.00",2.49B,-5.58%
3-Apr-2022,"42,767.00","45,813.00","47,435.00","42,113.00",3.23B,-6.64%
27-Mar-2022,"45,811.00","44,542.00","48,199.00","44,261.00",3.66B,2.84%
20-Mar-2022,"44,548.00","42,241.00","45,112.00","40,530.00",3.16B,5.48%
13-Mar-2022,"42,233.00","38,813.20","42,386.00","37,603.40",17.07B,8.81%
6-Mar-2022,"38,814.30","39,396.30","42,538.50","37,182.10",20.31B,-1.48%
27-Feb-2022,"39,395.80","39,116.60","45,294.20","37,062.30",6.23B,0.72%
20-Feb-2022,"39,115.50","40,089.60","40,120.30","34,357.40",635.91K,-2.43%
13-Feb-2022,"40,090.30","42,205.50","44,722.60","39,505.00",376.77K,-5.01%
6-Feb-2022,"42,205.20","41,411.90","45,755.20","41,176.30",473.29K,1.92%
30-Jan-2022,"41,412.10","38,167.50","41,899.80","36,297.30",451.36K,8.49%
23-Jan-2022,"38,170.80","35,072.90","38,862.60","32,985.60",630.11K,8.83%
16-Jan-2022,"35,075.20","43,079.20","43,487.10","34,116.00",541.76K,-18.61%
9-Jan-2022,"43,097.00","41,681.20","44,404.70","39,697.00",391.26K,3.42%
2-Jan-2022,"41,672.00","47,738.70","47,944.90","40,574.30",446.80K,-12.71%
